epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4891.53,1.06531,0.65997,1.42163,0.94808,0.97672,0.96554,0.61166,1.3222,0.52367,1.86855,0.0011882,0.0011882,0.0011882
43,5006.09,1.05927,0.66147,1.41088,0.96014,0.9523,0.95837,0.60106,1.35071,0.53929,1.88358,0.0011684,0.0011684,0.0011684
44,5120.96,1.0481,0.65096,1.40702,0.96566,0.98089,0.97668,0.61687,1.33366,0.50213,1.86606,0.0011486,0.0011486,0.0011486
45,5235.61,1.0389,0.63617,1.40207,0.97176,0.96046,0.96957,0.61324,1.32826,0.5122,1.87777,0.0011288,0.0011288,0.0011288
46,5350.94,1.02709,0.63965,1.39374,0.95717,0.97442,0.96824,0.59969,1.35662,0.51323,1.9222,0.001109,0.001109,0.001109
47,5467,1.03199,0.64549,1.39529,0.95755,0.96977,0.96409,0.60211,1.34484,0.5267,1.89516,0.0010892,0.0010892,0.0010892
48,5582.42,1.01419,0.63691,1.38275,0.96094,0.97257,0.96765,0.60582,1.35274,0.51244,1.90119,0.0010694,0.0010694,0.0010694
49,5697.37,0.99942,0.62202,1.3737,0.94698,0.95531,0.95921,0.6017,1.34225,0.53064,1.91415,0.0010496,0.0010496,0.0010496
50,5812.05,0.99777,0.61637,1.36979,0.96314,0.96744,0.97232,0.61588,1.32719,0.51925,1.901,0.0010298,0.0010298,0.0010298
51,5926.54,0.98706,0.6112,1.36713,0.94978,0.96769,0.97308,0.61357,1.3184,0.51354,1.90446,0.00101,0.00101,0.00101
52,6042.23,0.97909,0.59735,1.35641,0.95562,0.96279,0.96891,0.59875,1.36319,0.53205,1.94965,0.0009902,0.0009902,0.0009902
53,6156.09,0.96525,0.60047,1.35278,0.96138,0.9814,0.97644,0.60151,1.34427,0.51582,1.95315,0.0009704,0.0009704,0.0009704
54,6270.3,0.95224,0.59176,1.33622,0.96104,0.96977,0.97213,0.61022,1.33934,0.50667,1.92609,0.0009506,0.0009506,0.0009506
55,6384.84,0.95099,0.58284,1.33095,0.96033,0.97209,0.97048,0.60712,1.33826,0.50862,1.90873,0.0009308,0.0009308,0.0009308
56,6500.65,0.94954,0.58892,1.33658,0.94921,0.96512,0.96834,0.59304,1.36488,0.51354,1.97826,0.000911,0.000911,0.000911
57,6616.45,0.93389,0.57262,1.32612,0.96522,0.96808,0.97365,0.60366,1.3614,0.52358,1.97229,0.0008912,0.0008912,0.0008912
58,6731.44,0.92961,0.56675,1.32094,0.94368,0.97423,0.96533,0.60032,1.35001,0.51305,1.9838,0.0008714,0.0008714,0.0008714
59,6846.55,0.92337,0.56766,1.31521,0.94361,0.96744,0.96453,0.60105,1.35173,0.50908,2.00444,0.0008516,0.0008516,0.0008516
60,6961.53,0.9064,0.55483,1.30307,0.95623,0.96521,0.96766,0.6059,1.3391,0.50155,1.96121,0.0008318,0.0008318,0.0008318
61,7075.44,0.8962,0.54448,1.30134,0.95211,0.97094,0.96654,0.6056,1.36526,0.51234,1.9799,0.000812,0.000812,0.000812
62,7190.15,0.88647,0.53472,1.28508,0.95193,0.96279,0.9657,0.60133,1.35137,0.53954,2.00788,0.0007922,0.0007922,0.0007922
63,7305.27,0.8778,0.54607,1.28289,0.95876,0.95581,0.97119,0.60503,1.35756,0.52417,2.02555,0.0007724,0.0007724,0.0007724
64,7420.22,0.88093,0.54675,1.28159,0.9507,0.96279,0.96807,0.5964,1.36446,0.52348,2.03433,0.0007526,0.0007526,0.0007526
65,7534.96,0.86504,0.53644,1.276,0.96445,0.96744,0.97416,0.59972,1.36199,0.50715,2.04518,0.0007328,0.0007328,0.0007328
66,7649.96,0.85044,0.52648,1.27043,0.94793,0.97378,0.96758,0.60048,1.35275,0.51814,2.04062,0.000713,0.000713,0.000713
67,7764.95,0.8521,0.52182,1.26448,0.95417,0.96834,0.96808,0.5982,1.37228,0.50654,2.06232,0.0006932,0.0006932,0.0006932
68,7880.32,0.84015,0.52164,1.25562,0.94966,0.96977,0.9696,0.59185,1.37261,0.49938,2.06016,0.0006734,0.0006734,0.0006734
69,7995.04,0.82995,0.50743,1.25634,0.96091,0.96047,0.97092,0.58992,1.38152,0.51114,2.10402,0.0006536,0.0006536,0.0006536
70,8109.15,0.83434,0.51869,1.25733,0.94794,0.96744,0.96877,0.59608,1.37344,0.50507,2.07917,0.0006338,0.0006338,0.0006338
71,8223.98,0.81414,0.51199,1.24467,0.95175,0.96337,0.97166,0.6031,1.37128,0.49909,2.08533,0.000614,0.000614,0.000614
72,8337.85,0.81239,0.50484,1.23957,0.9388,0.96744,0.96371,0.59782,1.36764,0.51969,2.08231,0.0005942,0.0005942,0.0005942
73,8452.57,0.80904,0.50103,1.24289,0.93876,0.96744,0.96491,0.59645,1.37771,0.52792,2.10564,0.0005744,0.0005744,0.0005744
74,8567.66,0.80363,0.49336,1.23358,0.95822,0.96011,0.96539,0.60026,1.36922,0.51011,2.11661,0.0005546,0.0005546,0.0005546
75,8683.29,0.79944,0.49476,1.23274,0.95134,0.95349,0.96578,0.59778,1.36907,0.50959,2.13061,0.0005348,0.0005348,0.0005348
76,8798.12,0.78825,0.48739,1.22747,0.93678,0.96495,0.95798,0.5941,1.37258,0.5229,2.13499,0.000515,0.000515,0.000515
77,8913.4,0.77777,0.48819,1.2226,0.93249,0.96368,0.96203,0.59632,1.37242,0.51634,2.12323,0.0004952,0.0004952,0.0004952
78,9029.84,0.77334,0.48282,1.21537,0.95692,0.95116,0.96422,0.59937,1.38105,0.51033,2.12804,0.0004754,0.0004754,0.0004754
79,9144.52,0.76184,0.46993,1.2048,0.95578,0.95505,0.96421,0.59885,1.36168,0.50155,2.10192,0.0004556,0.0004556,0.0004556
80,9258.79,0.75867,0.47709,1.20683,0.92427,0.96499,0.96025,0.59988,1.36331,0.50376,2.13594,0.0004358,0.0004358,0.0004358
81,9372.83,0.75449,0.46984,1.20737,0.93626,0.95581,0.96324,0.59859,1.3698,0.51077,2.14164,0.000416,0.000416,0.000416
82,9487.88,0.75869,0.47399,1.20571,0.94431,0.94642,0.96708,0.60205,1.36809,0.50906,2.13781,0.0003962,0.0003962,0.0003962
83,9604.16,0.74658,0.46251,1.1906,0.93481,0.96706,0.96519,0.59694,1.37221,0.52064,2.16028,0.0003764,0.0003764,0.0003764
84,9719.32,0.73902,0.46314,1.19603,0.93945,0.97419,0.96926,0.59706,1.37182,0.5049,2.155,0.0003566,0.0003566,0.0003566
85,9834.87,0.73139,0.45657,1.18859,0.9587,0.95349,0.97192,0.59561,1.37255,0.50969,2.17058,0.0003368,0.0003368,0.0003368
86,9949.77,0.72577,0.46094,1.1836,0.9455,0.96838,0.97126,0.5947,1.37584,0.50571,2.19321,0.000317,0.000317,0.000317
87,10064.7,0.71894,0.44862,1.1811,0.94306,0.96977,0.96701,0.59873,1.36788,0.50988,2.18228,0.0002972,0.0002972,0.0002972
88,10179.7,0.7188,0.44701,1.17969,0.94381,0.95581,0.95711,0.59319,1.3795,0.51029,2.19142,0.0002774,0.0002774,0.0002774
89,10294.6,0.71263,0.44717,1.17267,0.92376,0.95801,0.95278,0.59266,1.37824,0.51515,2.20348,0.0002576,0.0002576,0.0002576
90,10409.3,0.70094,0.44245,1.16861,0.93801,0.96047,0.96123,0.59289,1.37575,0.51423,2.19594,0.0002378,0.0002378,0.0002378
91,10523.2,0.57066,0.31004,1.11553,0.93284,0.96904,0.96638,0.59506,1.36633,0.5184,2.1995,0.000218,0.000218,0.000218
92,10635.8,0.54793,0.29543,1.09632,0.93858,0.94884,0.96324,0.59358,1.36487,0.52337,2.21828,0.0001982,0.0001982,0.0001982
93,10748.3,0.54671,0.29394,1.09464,0.93587,0.95581,0.96234,0.59228,1.36715,0.52361,2.21764,0.0001784,0.0001784,0.0001784
94,10860.4,0.53822,0.28949,1.08824,0.94424,0.94524,0.9615,0.5907,1.37952,0.52249,2.24384,0.0001586,0.0001586,0.0001586
95,10972.6,0.52628,0.28609,1.07204,0.94422,0.94475,0.96082,0.59096,1.38016,0.52422,2.26081,0.0001388,0.0001388,0.0001388
96,11084.8,0.51826,0.27892,1.0657,0.94431,0.9464,0.95884,0.58915,1.38919,0.52662,2.27753,0.000119,0.000119,0.000119
97,11196.7,0.51074,0.27161,1.06597,0.93319,0.94207,0.95735,0.58612,1.38797,0.5349,2.29461,9.92e-05,9.92e-05,9.92e-05
98,11307.9,0.50801,0.27255,1.06594,0.92559,0.95456,0.95878,0.58858,1.38392,0.53414,2.30049,7.94e-05,7.94e-05,7.94e-05
99,11420.4,0.50273,0.27268,1.05932,0.92948,0.95349,0.95843,0.58955,1.38349,0.52871,2.30521,5.96e-05,5.96e-05,5.96e-05
100,11532.4,0.49833,0.26728,1.05292,0.93224,0.95116,0.95882,0.58946,1.38397,0.52915,2.30948,3.98e-05,3.98e-05,3.98e-05
